region,country
Centre-Sud,Burkina Faso
Est,Burkina Faso
High-Basins,Burkina Faso
Nord,Burkina Faso
Plateau-Central,Burkina Faso
Sahel,Burkina Faso
Southwest,Burkina Faso
Razgrad,Bulgaria
Montana,Bulgaria
Vratsa,Bulgaria
Varna,Bulgaria
Dobrich,Bulgaria
Sofiya,Bulgaria
Ruse,Bulgaria
Plovdiv,Bulgaria
Pleven,Bulgaria
Pernik,Bulgaria
Pazardzhik,Bulgaria
Lovech,Bulgaria
Khaskovo,Bulgaria
Sofia-Capital,Bulgaria
Burgas,Bulgaria
Blagoevgrad,Bulgaria
Gabrovo,Bulgaria
Kurdzhali,Bulgaria
Kyustendil,Bulgaria
Shumen,Bulgaria
Silistra,Bulgaria
Sliven,Bulgaria
Smolyan,Bulgaria
Stara Zagora,Bulgaria
Turgovishte,Bulgaria
Veliko Turnovo,Bulgaria
Vidin,Bulgaria
Yambol,Bulgaria
Muharraq,Bahrain
Manama,Bahrain
Southern Governorate,Bahrain
Central Governorate,Bahrain
Northern,Bahrain
Makamba,Burundi
Bururi,Burundi
Muramvya,Burundi
Gitega,Burundi
Ruyigi,Burundi
Cankuzo,Burundi
Karuzi,Burundi
Bubanza,Burundi
Cibitoke,Burundi
Ngozi,Burundi
Kayanza,Burundi
Muyinga,Burundi
Kirundo,Burundi
Rutana,Burundi
Mwaro,Burundi
Bujumbura Mairie,Burundi
Bujumbura Rural,Burundi
Zou,Benin
Queme,Benin
Mono,Benin
Borgou,Benin
Atlantique,Benin
Atakora,Benin
Alibori,Benin
Collines,Benin
Kouffo,Benin
Donga,Benin
Littoral,Benin
Plateau,Benin
Warwick,Bermuda
Southampton,Bermuda
Smith's Parish,Bermuda
Sandys,Bermuda
Saint George's Parish,Bermuda
Saint George,Bermuda
Pembroke,Bermuda
Paget,Bermuda
Hamilton Parish,Bermuda
Hamilton city,Bermuda
Devonshire,Bermuda
Tutong,Brunei
Temburong,Brunei
Brunei and Muara,Brunei
Belait,Brunei
Tarija,Bolivia
Santa Cruz,Bolivia
Potosi,Bolivia
Pando,Bolivia
Oruro,Bolivia
La Paz,Bolivia
Cochabamba,Bolivia
Chuquisaca,Bolivia
El Beni,Bolivia
Bonaire,"Bonaire, Saint Eustatius and Saba "
Saba,"Bonaire, Saint Eustatius and Saba "
Sint Eustatius,"Bonaire, Saint Eustatius and Saba "
Rio Grande do Norte,Brazil
Piaui,Brazil
Pernambuco,Brazil
Paraiba,Brazil
Para,Brazil
Maranhao,Brazil
Ceara,Brazil
Amapa,Brazil
Alagoas,Brazil
Sergipe,Brazil
Sao Paulo,Brazil
Santa Catarina,Brazil
Rio Grande do Sul,Brazil
Rio de Janeiro,Brazil
Parana,Brazil
Minas Gerais,Brazil
Mato Grosso do Sul,Brazil
Mato Grosso,Brazil
Goias,Brazil
Federal District,Brazil
Espirito Santo,Brazil
Bahia,Brazil
Tocantins,Brazil
Roraima,Brazil
Amazonas,Brazil
Acre,Brazil
Rondonia,Brazil
San Salvador,Bahamas
Ragged Island,Bahamas
Berry Islands,Bahamas
New Providence,Bahamas
Mayaguana,Bahamas
Long Island,Bahamas
Inagua,Bahamas
Harbour Island,Bahamas
Freeport,Bahamas
Exuma,Bahamas
Cat Island,Bahamas
Bimini,Bahamas
Acklins,Bahamas
Black Point,Bahamas
Central Abaco,Bahamas
Central Andros,Bahamas
Central Eleuthera,Bahamas
Crooked Island and Long Cay,Bahamas
East Grand Bahama,Bahamas
Grand Cay,Bahamas
Hope Town,Bahamas
Mangrove Cay,Bahamas
Moore's Island,Bahamas
North Abaco,Bahamas
North Andros,Bahamas
North Eleuthera,Bahamas
Rum Cay,Bahamas
South Abaco,Bahamas
South Andros,Bahamas
South Eleuthera,Bahamas
Spanish Wells,Bahamas
West Grand Bahama,Bahamas
Bumthang,Bhutan
Chhukha,Bhutan
Daga,Bhutan
Chirang,Bhutan
Geylegphug,Bhutan
Ha,Bhutan
Lhuntshi,Bhutan
Mongar,Bhutan
Paro,Bhutan
Pemagatsel,Bhutan
Punakha,Bhutan
Samchi,Bhutan
Samdrup Jongkhar,Bhutan
Shemgang,Bhutan
Tashigang,Bhutan
Thimphu,Bhutan
Tongsa,Bhutan
Wangdi Phodrang,Bhutan
Gasa,Bhutan
Trashi Yangste,Bhutan
Southern,Botswana
South East,Botswana
North East,Botswana
North West,Botswana
Kweneng,Botswana
Kgatleng,Botswana
Kgalagadi,Botswana
Ghanzi,Botswana
Central,Botswana
Vitebsk,Belarus
Mogilev,Belarus
Minsk,Belarus
Minsk,Belarus
Grodnenskaya,Belarus
Gomel,Belarus
Brest,Belarus
Toledo,Belize
Stann Creek,Belize
Orange Walk,Belize
Corozal,Belize
Cayo,Belize
Belize,Belize
Alberta,Canada
British Columbia,Canada
Manitoba,Canada
New Brunswick,Canada
Northwest Territories,Canada
Nova Scotia,Canada
Nunavut,Canada
Ontario,Canada
Prince Edward Island,Canada
Quebec,Canada
Saskatchewan,Canada
Yukon,Canada
Mostaganem,Algeria
Newfoundland and Labrador,Canada
South Kivu,Democratic Republic of the Congo
Katanga,Democratic Republic of the Congo
Nord Kivu,Democratic Republic of the Congo
Maniema,Democratic Republic of the Congo
Kasai-Oriental,Democratic Republic of the Congo
Kasai-Occidental,Democratic Republic of the Congo
Eastern Province,Democratic Republic of the Congo
Equateur,Democratic Republic of the Congo
Kinshasa,Democratic Republic of the Congo
Bas-Congo,Democratic Republic of the Congo
Bandundu,Democratic Republic of the Congo
Vakaga,Central African Republic
Ouaka,Central African Republic
Mbomou,Central African Republic
Haut-Mbomou,Central African Republic
Haute-Kotto,Central African Republic
Basse-Kotto,Central African Republic
Bamingui-Bangoran,Central African Republic
Sangha-Mbaere,Central African Republic
Ouham-Pende,Central African Republic
Ouham,Central African Republic
Ombella-Mpoko,Central African Republic
Nana-Mambere,Central African Republic
Lobaye,Central African Republic
Kemo,Central African Republic
Mambere-Kadei,Central African Republic
Nana-Grebizi,Central African Republic
Bangui,Central African Republic
Sangha,Republic of the Congo
Pool,Republic of the Congo
Plateaux,Republic of the Congo
Niari,Republic of the Congo
Likouala,Republic of the Congo
Lekoumou,Republic of the Congo
Kouilou,Republic of the Congo
Cuvette,Republic of the Congo
Bouenza,Republic of the Congo
Brazzaville,Republic of the Congo
Cuvette-Ouest,Republic of the Congo
Pointe-Noire,Republic of the Congo
Zurich,Switzerland
Zug,Switzerland
Vaud,Switzerland
Valais,Switzerland
Uri,Switzerland
Ticino,Switzerland
Thurgau,Switzerland
Solothurn,Switzerland
Schwyz,Switzerland
Schaffhausen,Switzerland
Saint Gallen,Switzerland
Obwalden,Switzerland
Nidwalden,Switzerland
Neuchatel,Switzerland
Lucerne,Switzerland
Jura,Switzerland
Grisons,Switzerland
Glarus,Switzerland
Geneva,Switzerland
Fribourg,Switzerland
Bern,Switzerland
Basel-City,Switzerland
Basel-Landschaft,Switzerland
Appenzell Ausserrhoden,Switzerland
Appenzell Innerrhoden,Switzerland
Aargau,Switzerland
Lagunes,Ivory Coast
Sud-Comoe,Ivory Coast
Agneby,Ivory Coast
Haut-Sassandra,Ivory Coast
Savanes,Ivory Coast
Vallee du Bandama,Ivory Coast
Moyen-Comoe,Ivory Coast
Dix-Huit Montagnes,Ivory Coast
Lacs,Ivory Coast
Zanzan,Ivory Coast
Bas-Sassandra,Ivory Coast
Worodougou,Ivory Coast
Denguele,Ivory Coast
Sud-Bandama,Ivory Coast
Fromager,Ivory Coast
N'zi-Comoe,Ivory Coast
Marahoue,Ivory Coast
Moyen-Cavally,Ivory Coast
Bafing,Ivory Coast
Yamoussoukro Autonomous District,Ivory Coast
Valparaiso,Chile
Tarapaca,Chile
Santiago Metropolitan,Chile
Maule,Chile
Los Lagos,Chile
O'Higgins,Chile
Coquimbo,Chile
Biobio,Chile
Atacama,Chile
Araucania,Chile
Antofagasta,Chile
Aisen,Chile
Maio,Cape Verde
Magallanes,Chile
Arica y Parinacota,Chile
Los Rios,Chile
South-West Province,Cameroon
South Province,Cameroon
West,Cameroon
North-West Province,Cameroon
North Province,Cameroon
Littoral,Cameroon
Far North,Cameroon
East,Cameroon
Centre,Cameroon
Adamaoua,Cameroon
Tibet Autonomous Region,China
Qinghai Sheng,China
Xinjiang Uygur Zizhiqu,China
Zhejiang Sheng,China
Yunnan,China
Tianjin Shi,China
Sichuan,China
Shanxi Sheng,China
Shanghai Shi,China
Shandong Sheng,China
Shaanxi,China
Ningxia Huizu Zizhiqu,China
Jiangxi Sheng,China
Jiangsu,China
Hunan,China
Hubei,China
Henan Sheng,China
Hebei,China
Hainan,China
Guizhou Sheng,China
Guangxi Zhuangzu Zizhiqu,China
Guangdong,China
Gansu Sheng,China
Fujian,China
Chongqing Shi,China
Anhui Sheng,China
Inner Mongolia,China
Liaoning,China
Jilin Sheng,China
Heilongjiang Sheng,China
Beijing,China
Vichada,Colombia
Vaupes,Colombia
Valle del Cauca,Colombia
Tolima,Colombia
Sucre,Colombia
Santander,Colombia
"Archipielago de San Andres, Providencia y Santa Catalina",Colombia
Risaralda,Colombia
Quindio,Colombia
Putumayo,Colombia
Norte de Santander,Colombia
Narino,Colombia
Meta,Colombia
Magdalena,Colombia
La Guajira,Colombia
Huila,Colombia
Guaviare,Colombia
Guainia,Colombia
Cundinamarca,Colombia
Cordoba,Colombia
Choco,Colombia
Cesar,Colombia
Cauca,Colombia
Casanare,Colombia
Caqueta,Colombia
Caldas,Colombia
Boyaca,Colombia
Bolivar,Colombia
Bogota D.C.,Colombia
Atlantico,Colombia
Arauca,Colombia
Antioquia,Colombia
Amazonas,Colombia
San Jose,Costa Rica
Puntarenas,Costa Rica
Limon,Costa Rica
Heredia,Costa Rica
Guanacaste,Costa Rica
Cartago,Costa Rica
Alajuela,Costa Rica
Villa Clara,Cuba
Santiago de Cuba,Cuba
Sancti Spiritus,Cuba
Pinar del Rio,Cuba
Matanzas,Cuba
Las Tunas,Cuba
Isla de la Juventud,Cuba
Holguin,Cuba
Guantanamo,Cuba
Granma,Cuba
La Habana,Cuba
Cienfuegos,Cuba
Ciego de Avila,Cuba
Camaguey,Cuba
Artemisa,Cuba
Mayabeque,Cuba
Tarrafal,Cape Verde
Sao Vicente,Cape Verde
Santa Catarina,Cape Verde
Sal,Cape Verde
Ribeira Grande,Cape Verde
Praia,Cape Verde
Paul,Cape Verde
Brava,Cape Verde
Boa Vista,Cape Verde
Mosteiros,Cape Verde
Santa Cruz,Cape Verde
Sao Domingos,Cape Verde
Sao Filipe,Cape Verde
Sao Miguel,Cape Verde
Porto Novo,Cape Verde
Ribeira Brava,Cape Verde
Santa Catarina do Fogo,Cape Verde
Sao Salvador do Mundo,Cape Verde
Tarrafal de Sao Nicolau,Cape Verde
Sao Lourenco dos Orgaos,Cape Verde
Ribeira Grande de Santiago,Cape Verde
Pafos,Cyprus
Lefkosia,Cyprus
Limassol,Cyprus
Larnaka,Cyprus
Keryneia,Cyprus
Ammochostos,Cyprus
Praha,Czech Republic
South Moravian,Czech Republic
Jihocesky,Czech Republic
Vysocina,Czech Republic
Karlovarsky,Czech Republic
Kralovehradecky,Czech Republic
Liberecky,Czech Republic
Olomoucky,Czech Republic
Moravskoslezsky,Czech Republic
Pardubicky,Czech Republic
Plzensky,Czech Republic
Central Bohemia,Czech Republic
Ustecky,Czech Republic
Zlin,Czech Republic
Thuringia,Germany
Schleswig-Holstein,Germany
Saxony-Anhalt,Germany
Saxony,Germany
Saarland,Germany
Rheinland-Pfalz,Germany
North Rhine-Westphalia,Germany
Lower Saxony,Germany
Mecklenburg-Vorpommern,Germany
Hesse,Germany
Hamburg,Germany
Bremen,Germany
Brandenburg,Germany
Berlin,Germany
Bavaria,Germany
Baden-Wuerttemberg,Germany
Tadjourah,Djibouti
Obock,Djibouti
Djibouti,Djibouti
Dikhil,Djibouti
Ali Sabieh,Djibouti
Arta,Djibouti
Capital Region,Denmark
Central Jutland,Denmark
North Denmark,Denmark
Zealand,Denmark
South Denmark,Denmark
Saint Peter,Dominica
Saint Paul,Dominica
Saint Patrick,Dominica
Saint Mark,Dominica
Saint Luke,Dominica
Saint Joseph,Dominica
Saint John,Dominica
Saint George,Dominica
Saint David,Dominica
Saint Andrew,Dominica
Valverde,Dominican Republic
Santiago Rodriguez,Dominican Republic
Santiago,Dominican Republic
San Pedro de Macoris,Dominican Republic
San Juan,Dominican Republic
San Cristobal,Dominican Republic
Sanchez Ramirez,Dominican Republic
Samana,Dominican Republic
Hermanas Mirabal,Dominican Republic
Puerto Plata,Dominican Republic
Peravia,Dominican Republic
Pedernales,Dominican Republic
Nacional,Dominican Republic
Monte Plata,Dominican Republic
Monte Cristi,Dominican Republic
Monsenor Nouel,Dominican Republic
Maria Trinidad Sanchez,Dominican Republic
La Vega,Dominican Republic
La Romana,Dominican Republic
La Altagracia,Dominican Republic
Independencia,Dominican Republic
Hato Mayor,Dominican Republic
Espaillat,Dominican Republic
El Seibo,Dominican Republic
Elias Pina,Dominican Republic
Duarte,Dominican Republic
Dajabon,Dominican Republic
Barahona,Dominican Republic
Baoruco,Dominican Republic
Azua,Dominican Republic
San Jose de Ocoa,Dominican Republic
Santo Domingo,Dominican Republic
Tlemcen,Algeria
Tizi Ouzou,Algeria
Tissemsilt,Algeria
Tipaza,Algeria
Tindouf,Algeria
Tiaret,Algeria
Tebessa,Algeria
Tamanghasset,Algeria
Souk Ahras,Algeria
Skikda,Algeria
Sidi Bel Abbes,Algeria
Setif,Algeria
Saida,Algeria
Relizane,Algeria
Oum el Bouaghi,Algeria
Ouargla,Algeria
Oran,Algeria
Wilaya de Naama,Algeria
Wilaya de M'Sila,Algeria
Mila,Algeria
Medea,Algeria
Mascara,Algeria
Laghouat,Algeria
Khenchela,Algeria
Jijel,Algeria
Illizi,Algeria
Guelma,Algeria
Ghardaia,Algeria
El Tarf,Algeria
El Oued,Algeria
El Bayadh,Algeria
Djelfa,Algeria
Constantine,Algeria
Chlef,Algeria
Boumerdes,Algeria
Bouira,Algeria
Bordj Bou Arreridj,Algeria
Blida,Algeria
Biskra,Algeria
Bejaia,Algeria
Bechar,Algeria
Batna,Algeria
Annaba,Algeria
Alger,Algeria
Ain Temouchent,Algeria
Ain Defla,Algeria
Adrar,Algeria
Zamora-Chinchipe,Ecuador
Tungurahua,Ecuador
Pichincha,Ecuador
Pastaza,Ecuador
Napo,Ecuador
Morona-Santiago,Ecuador
Manabi,Ecuador
Los Rios,Ecuador
Loja,Ecuador
Imbabura,Ecuador
Guayas,Ecuador
Galapagos,Ecuador
Esmeraldas,Ecuador
El Oro,Ecuador
Cotopaxi,Ecuador
Chimborazo,Ecuador
Carchi,Ecuador
Canar,Ecuador
Bolivar,Ecuador
Azuay,Ecuador
Sucumbios,Ecuador
Orellana,Ecuador
Santo Domingo de los Tsachilas,Ecuador
Santa Elena,Ecuador
Vorumaa,Estonia
Viljandimaa,Estonia
Valgamaa,Estonia
Tartu,Estonia
Saare,Estonia
Raplamaa,Estonia
Polvamaa,Estonia
Paernumaa,Estonia
Laeaene-Virumaa,Estonia
Laeaene,Estonia
Jogevamaa,Estonia
Jaervamaa,Estonia
Ida-Virumaa,Estonia
Hiiumaa,Estonia
Harjumaa,Estonia
Suhaj,Egypt
Muhafazat Shamal Sina',Egypt
Qina,Egypt
Muhafazat Matruh,Egypt
Kafr ash Shaykh,Egypt
South Sinai,Egypt
Dumyat,Egypt
Muhafazat Bur Sa`id,Egypt
Muhafazat Bani Suwayf,Egypt
Asyut,Egypt
Aswan,Egypt
As Suways,Egypt
Eastern Province,Egypt
Muhafazat al Wadi al Jadid,Egypt
Muhafazat al Qalyubiyah,Egypt
Muhafazat al Qahirah,Egypt
Al Minya,Egypt
Muhafazat al Minufiyah,Egypt
Al Jizah,Egypt
Al Isma'iliyah,Egypt
Alexandria,Egypt
Muhafazat al Gharbiyah,Egypt
Muhafazat al Fayyum,Egypt
Al Buhayrah,Egypt
Red Sea,Egypt
Muhafazat ad Daqahliyah,Egypt
Luxor,Egypt
Oued Ed-Dahab-Lagouira,Western Sahara
Anseba,Eritrea
Debub,Eritrea
Southern Red Sea Region,Eritrea
Gash Barka,Eritrea
Maekel Region,Eritrea
Northern Red Sea Region,Eritrea
Murcia,Spain
Ceuta,Spain
Balearic Islands,Spain
Andalusia,Spain
Canary Islands,Spain
Castille-La Mancha,Spain
Extremadura,Spain
Valencia,Spain
Asturias,Spain
Navarre,Spain
Madrid,Spain
La Rioja,Spain
Cantabria,Spain
Aragon,Spain
Castille and Leon,Spain
Catalonia,Spain
Galicia,Spain
Basque Country,Spain
Melilla,Spain
Adis Abeba,Ethiopia
Afar,Ethiopia
Amhara,Ethiopia
Binshangul Gumuz,Ethiopia
Dire Dawa,Ethiopia
Gambela,Ethiopia
Harari,Ethiopia
Oromiya,Ethiopia
Somali,Ethiopia
Tigray,Ethiopia
"Southern Nations, Nationalities, and People's Region",Ethiopia
Lapland,Finland
Kainuu,Finland
Northern Ostrobothnia,Finland
Central Ostrobothnia,Finland
Ostrobothnia,Finland
Southern Ostrobothnia,Finland
Central Finland,Finland
North Karelia,Finland
Northern Savo,Finland
Southern Savonia,Finland
South Karelia,Finland
Kymenlaakso,Finland
Pirkanmaa,Finland
Haeme,Finland
Southwest Finland,Finland
Uusimaa,Finland
Paijanne Tavastia,Finland
Satakunta,Finland
Western,Fiji
Northern,Fiji
Central,Fiji
Eastern,Fiji
Rotuma,Fiji
Kadavu,Fiji
Yap,Micronesia
Pohnpei,Micronesia
Kosrae,Micronesia
Chuuk,Micronesia
Vagar,Faroe Islands
Suduroy,Faroe Islands
Streymoy,Faroe Islands
Sandoy,Faroe Islands
Nordoyar,Faroe Islands
Eysturoy,Faroe Islands
Rhone-Alpes,France
Provence-Alpes-Cote d'Azur,France
Poitou-Charentes,France
Picardie,France
Pays de la Loire,France
Nord-Pas-de-Calais,France
Midi-Pyrenees,France
Lorraine,France
Limousin,France
Languedoc-Roussillon,France
Ile-de-France,France
Haute-Normandie,France
Franche-Comte,France
Corsica,France
Champagne-Ardenne,France
Centre,France
Brittany,France
Bourgogne,France
Lower Normandy,France
Auvergne,France
Aquitaine,France
Alsace,France
Woleu-Ntem,Gabon
Ogooue-Maritime,Gabon
Ogooue-Lolo,Gabon
Ogooue-Ivindo,Gabon
Nyanga,Gabon
Ngounie,Gabon
Moyen-Ogooue,Gabon
Haut-Ogooue,Gabon
Estuaire,Gabon
Wales,United Kingdom
Scotland,United Kingdom
Northern Ireland,United Kingdom
England,United Kingdom
Saint Patrick,Grenada
Saint Mark,Grenada
Saint John,Grenada
Saint George,Grenada
Saint David,Grenada
Saint Andrew,Grenada
Carriacou and Petite Martinique,Grenada
T'bilisi,Georgia
Ajaria,Georgia
Kvemo Kartli,Georgia
Kakheti,Georgia
Guria,Georgia
Imereti,Georgia
Shida Kartli,Georgia
Mtskheta-Mtianeti,Georgia
Bolama and Bijagos,Guinea-Bissau
Racha-Lechkhumi and Kvemo Svaneti,Georgia
Samegrelo and Zemo Svaneti,Georgia
Samtskhe-Javakheti,Georgia
Abkhazia,Georgia
Guyane,French Guiana
St Pierre du Bois,Guernsey
Torteval,Guernsey
Saint Saviour,Guernsey
Forest,Guernsey
St Martin,Guernsey
Saint Andrew,Guernsey
St Peter Port,Guernsey
Castel,Guernsey
Vale,Guernsey
St Sampson,Guernsey
Alderney,Guernsey
Western,Ghana
Volta,Ghana
Upper West,Ghana
Upper East,Ghana
Northern,Ghana
Greater Accra,Ghana
Eastern,Ghana
Central,Ghana
Brong-Ahafo,Ghana
Ashanti,Ghana
Qaasuitsup,Greenland
Kujalleq,Greenland
Qeqqata,Greenland
Sermersooq,Greenland
Western,Gambia
Upper River,Gambia
North Bank,Gambia
Central River,Gambia
Lower River,Gambia
Banjul,Gambia
Conakry,Guinea
Boke,Guinea
Faranah,Guinea
Kankan,Guinea
Kindia,Guinea
Labe,Guinea
Mamou,Guinea
Nzerekore,Guinea
Guadeloupe,Guadeloupe
Annobon,Equatorial Guinea
Bioko Norte,Equatorial Guinea
Bioko Sur,Equatorial Guinea
Centro Sur,Equatorial Guinea
Kie-Ntem,Equatorial Guinea
Litoral,Equatorial Guinea
Wele-Nzas,Equatorial Guinea
Mount Athos,Greece
Attica,Greece
Central Greece,Greece
Central Macedonia,Greece
Crete,Greece
East Macedonia and Thrace,Greece
Epirus,Greece
Ionian Islands,Greece
North Aegean,Greece
Peloponnese,Greece
South Aegean,Greece
Thessaly,Greece
West Greece,Greece
West Macedonia,Greece
Zacapa,Guatemala
Totonicapan,Guatemala
Suchitepeque,Guatemala
Solola,Guatemala
Santa Rosa,Guatemala
San Marcos,Guatemala
Sacatepequez,Guatemala
Retalhuleu,Guatemala
Quiche,Guatemala
Quetzaltenango,Guatemala
Peten,Guatemala
Jutiapa,Guatemala
Jalapa,Guatemala
Izabal,Guatemala
Huehuetenango,Guatemala
Guatemala,Guatemala
Escuintla,Guatemala
El Progreso,Guatemala
Chiquimula,Guatemala
Chimaltenango,Guatemala
Baja Verapaz,Guatemala
Alta Verapaz,Guatemala
Piti,Guam
Santa Rita,Guam
Sinajana,Guam
Talofofo,Guam
Tamuning,Guam
Umatac,Guam
Yigo,Guam
Yona,Guam
Merizo,Guam
Mangilao,Guam
Agana Heights,Guam
Chalan Pago-Ordot,Guam
Asan,Guam
Agat,Guam
